,tweet,bert_predict,lstm_predict,bert_lstm_predict
0,orang takut covidcovidin dibilang nyari untung kabar amerika nelpon ambulans aja bayar ratusanribuan dolar,-1,-1,-1
1,klo vaksin modena pfizer bayar jg ga asal asuransi klo apa efeknya,-1,-1,-1
2,covid gak percaya pakai duit lu besok gue bayar percaya,-1,-1,-1
3,gimana kagak meningkat korban corona wong sakit divonisnya positif biaya tp tanggung pemerintah yg cerdas faham arahnya kemana,-1,-1,-1
4,sebulan kerja udah dikeluaringadapet gaji alesan covidnyoba ngelamar kemanamana gaada diterimaakhir bulan ngembaliin uang anakanakmau jual barang udah gaada lagibelum bayar kuliah sewa kos hadehh cepet kelar nih corona,-1,-1,-1
5,bajunya corona conspiracy kok pake masker mas males bayar denda setidaknya disuruh bersihin got ribut orangorang parnoan minim literasi bu,-1,-1,-1
6,kangen ibuk penjual nasi campur sebelah kosan gue masakannya enak terus murah kadang pas akhir bulan gue dikasih makanan gratis tp dah pindah kampung corona,1,1,1
7,geh vaksin minimal th di ya yg gratis dmn bayar dmn,1,1,1
8,dagang emang hemat china buktinya penyakit corona menciptakan obat nya china obatnya mahal penyakitnya gratis bro bodoh beli,-1,1,-1
9,bener sehat mahal gua nebus obat pasca covid kmf ngeredain batuk sesak masa hbs anjir uangnya buat beli album nct,-1,1,-1
10,karena duit nya udah gak makanya si opung menghadap yenni jadi asesories doang menag bumper doang corong ngeles aslinya duitnya gak hutangnya bayar jadilah di pakai alasan covid,-1,-1,-1
11,tahun negaraque gencargencarnya kasih diskon tiket liburan bayar influencer genjot pariwisata lagi denial covid masuk indo sebulan covid resmi masuk negaraque berkalikali diprediksi beberapa bulan covid,1,1,1
12,mengenai vaksin kalau ternyata vaksin awal pemicu awal sistem imun tubuh rentan terkena penyakit selanjutnya sudah rentan membutuhkan vaksin akan dikenai biaya mulai jaga kesehatan masingmasing,-1,1,-1
13,ya allah capek banget mau vaksin aja rempong banget bikin surat domisili udah bikin didesa bayar perlembarnya buset biaya ngeprint mahal yaa klembar,-1,-1,-1
