,tweet,bert_predict,lstm_predict,bert_lstm_predict
0,masih yg percaya pemerintah bakal berhasil menangani pandemi covid baik,1,1,1
1,cah testine mari vaksin efek podo meriang sui sui ya terus temenku jare bar vaksin selang minggu tes antigen tetep positif covid sakjane vaksine ben berguna ki pie,-1,-1,-1
2,pemartabatan bahasa membantu melawan covid,-1,1,1
3,prestasi presiden teeuji bagaimana covid menurunjika tercapai sebagai kepala pemerintahan telah berhasilkarena ada gunanya ekonomi meningkatkan korban covid bergelimpangan,-1,-1,1
4,tumpukan perhatian usaha untuk membantu rakyat menghadapi kesukaran akibat wabak covid kalut mengira bilangan ahli parlimen,-1,1,-1
5,tempat parkir kontainer disulap jd ruang rsud dr soetomo bantu pasien covid,1,-1,-1
6,polda jatim mendapat tugas untuk membantu percepatan vaksinasi covid loh,1,1,1
7,terima kasih untuk petugas medis yg mencurahkan hidupnya untuk memerangi virus maaf baru membantu lewat doa,1,1,1
8,jadi malam berhasil tdur cepatt hahaha gatau pokoknyaa ngantyk semalam ntah efek krna habis vaksin yaa,1,1,1
9,temen bukan nakes risiko tinggi berinisiatif untuk dapet booster vaksin berbeda bukti saintifik booster abu gw gak ngerti gimana caranya bisa bantu cari nuraninya dia,-1,-1,-1
10,malem kesayangan semua covid gencar penebarannya yg keluar wajib ikutin protokol ya yg positif mohon bantu kesembuhannya konsumsi aer jaheserai ya juga bawang putih min siung perhari makan mentah baik,1,1,1
11,pandemi covid membantu mengubah budaya pesta menjadi sederhana apa daya sebagian boomer pesta pernikahan berarti meningkatkan derajat,1,1,1
12,kalo dilihat antrian membludak peserta vaksin seluruh indonesia berarti edukasi soal prokes vaksin berhasil bagus jadi gosah insecure lihat yg ga mo divaksin tau resikonya paling prosentasenya dikit aja,-1,1,-1
13,ikatan dokter indonesia idi mempertanyakan parameter presiden joko widodo mengklaim negara berhasil mengendalikan pandemi covid,-1,1,-1
14,orang percaya vaksin ada chip nya mematamatai tolong dipikir apa mematamatai orang ga berguna sekali hey,-1,-1,-1
15,vaksin ubat vaksin membantu tingkatkan antibodi untuk melawan virus berusaha selebihnya tawakal allah mati pasti takut mati usaha siasia hidup,1,-1,1
16,membantu menggerakkan anak bangsa tugas walau kabupaten kota zona hijau waspada corona perlu yang waspada ekonomi bergerak,1,1,1
17,kasus covid mendadak jadi naik zona merah muncul peta penyebaran itu mulai menyebarkan vaksin secara luas rakyat sukarela menyodorkan tubuhnya untuk dialiri virus apa menghasut berhasil mematikan gerak manusia,-1,-1,-1
18,hindari corona tetaplah hidup gak berguna,-1,-1,-1
19,bantu pemerintah melawan covid cara patuhi protokol kesehatan,1,1,1
20,seneng banget berhasil membujuk bapak vaksin,1,1,1
21,pemprov jatim berharap ulama umaroh para kepala desa membantu pemerintah mensosialisasikan vaksinasi kepada masyarakat daerahnya masingmasing,1,-1,1
22,ayodong masyarakat ikut bergerak bantu pemerintah melawan covid jgn merengek pemerintah aja bapak suruh membungkuk minta maaf karena gagal menangani pandemi abis suruh sujud minta tolong masyarakat bantu,-1,-1,-1
23,utubari dukomorewe ku bantu bafashe covid jab abandi mwaba mubitabira ibinyobwa byejejwe,-1,-1,-1
24,terlepas pencitraan apapunsaya mengajak partai koalisi pemerintahkalau dapat simpati rakyat loyalis pak jokowibantu dengan mendirikan posko kemanusiaanuntuk yg terdampak wabah covid yg membutuh,-1,-1,1
25,moeldoko minta rakyat jadi lalat politik lalatnya di istana kepala staf presiden moeldoko minta pihak jadi lalat politik yg mengganggu pemerintah juga minta rakyat membantu pemerintah mengatasi covid penguasa ga berdaya merengek minta bantuan rakyat,1,-1,-1
26,hai hampir batal vaksin takut lalu berhasil,-1,-1,-1
27,moots kalo lewat bantu ak minta pendapat jadi pas sklh sblm corona ak ngumpulin uang kas skitar gt pas corona uangkas dikasih dri bendahara wali kelas trnyta wali kelas ku sakit bukan sakit corona cont,-1,-1,-1
