,tweet,bert_predict,lstm_predict,bert_lstm_predict
0,habis vaksin bro iya vaksin gratis beli biadab,1,1,1
1,kangen ibuk penjual nasi campur sebelah kosan gue masakannya enak terus murah kadang pas akhir bulan gue dikasih makanan gratis tp dah pindah kampung corona,1,1,1
2,geh vaksin minimal th di ya yg gratis dmn bayar dmn,1,1,1
3,dagang emang hemat china buktinya penyakit corona menciptakan obat nya china obatnya mahal penyakitnya gratis bro bodoh beli,-1,1,-1
4,crazy rich beli lapak tenabang ikut vaksin gratis deh,1,1,1
5,temen kerja kena covid semoga cepet sembuh ya duh takut kena jadinya anjir dapet cuti gratis euy,1,1,1
6,imo soal vaksin gr kimia farma loh orang yg liat antrian vaksin gratis tempat yg ngga wellorganized tu jadi ngeri seperti yg tau yg taat prokes segelintir orang doang gue pas antri aja rebutan bye prokes udah sampe dalem diserobot,-1,1,-1
7,wooi surtinah jumadi darmanto vaksin gratis lu bs dapetin diseluruh indonesia cm modal ktp tp lu gak dgn alasan macem dibumbui fitnahhoax skarang lu permasalahkan vaksin berbayar dgn argumen seenak pala bejat lu gw slepet palalu pake tabung gas ijo,-1,-1,-1
8,seru banget event vaksin gratis yang ngamjk,1,1,1
9,mau vaksin gratis ya ngantri klo gamau ngantri yg berbayar disediain mengurangi jumlah vaksin gratis gtu lohh jele,-1,1,-1
10,terus terang covid bikin yg miskin tambah miskin apo apo dikit rapid test itu besyukur pekerjaan yg apo apo gratis semoga keadaan indonesia kembali normal ada perlu pengeluaran uang seperti,-1,1,-1
11,berkesempatan divaksin gratis kalian bakal ambil gak di vaksin sekali,1,1,1
12,pemerenta indo malu kl misal diketawain pemerenta luar gitu yg ngasih gratis vaksin swab warganya ketauan skali ngejar cuanzz,-1,1,-1
13,vaksinlah vaksin bayar vaksinlah kena virus jgn kayak ge bulan nyari vaksin gratis sekian awal bulan akhirnya dpt jadwal vaksin sekaligus dpt virus gajadi vaksin deh yeu,-1,1,-1
14,geh vaksin gratis metro dimana ya,-1,1,1
15,adalah fase dimana susah dapet vaksin gratis usia jalur umum teringat tahun susah ngedapetin handsanitizer apa dibalik rebutan,-1,1,-1
16,juta dosis vaksin pfizer hadir indonesia semoga gratis ya,1,1,1
17,pak bebrapa rakyat nggak untuk tes covid biaya nya lumayan tes satu keluarga yang gratis satu rw di jatag orang itupun yang terindikasi sakit,-1,1,-1
18,negara katanya punya sila pancasila pasal ayat uud mulai jualan vaksin bumn pernah kesangkut test kit antigen palsu orang punya duit masih kelompok rentan bahkan tersentuh vaksin gratis gilak,-1,1,-1
