,tweet,bert_predict,lstm_predict,bert_lstm_predict
0,kita pakenya vaksin astra ya bebeb divaksin pfizer iri,-1,-1,-1
1,kayak bener kata kakakku pfizer moderna kayak bakal jual rban bener skrg sinopharm rb yakin kimia farma ga ambil untung soalnya vaksin pfizer aja harga aslinya dollar,-1,-1,-1
2,dah dah tarikh vaksin pfizer,-1,-1,-1
3,badan mmg serap betul vaksin hari tangan kiri takleh angkat muscle pain satu badan pagi lepas cucuk vaksin badan takleh bangun sbb muscle sakit gila,-1,-1,-1
4,sengajasih ngga ngebet banget cari vaksin nunggu pfizer aja bakalan dibagiin agustuslumayan juta dosis,-1,-1,-1
5,pfizer lama deh masuk indo pdhl sbnrnya vaksin aja cuman kelamaan agustus zz,-1,-1,-1
6,bising pfizer az memilih mcm ja woi sy tnggu vaksin sy dr bulan ba klau nda bg sy,-1,-1,-1
7,kelean baku hantam vaksin sinopharm menko airlangga singapur divaksin pfizer,-1,-1,-1
8,panik kl si covit bertamu badan mu demam tinggi coba pereda demam gw sich pake acetaminophen mg sehari batuk kering pake muchinex obat sejenis makan multi vitamin vaksin pake pfizer nonton komedi,-1,-1,-1
9,mak vaksin tadi pfizer sinovac paepet tu,-1,-1,-1
10,kurang paham orangorang berburu vaksin sinovac ya efisikasinya doi kecil personally gue pengen pfizer az jg gapapa bismillah sehat,1,-1,1
11,pihak atasan vaksin dh diambik pfizer gaji jalan beriburibu malas parlimen tutup rakyat vaksin yg diambik extrazanica gaji dipotong covid rajin berusaha dibuang kerja,-1,-1,-1
12,vaksin tp sangsi bgt sodara ku yg udah vaksin mostly pake pfizer fine aja efeknya cuma ky panas dalem aja mentok sm tangan linu,-1,-1,-1
13,vaksin pfizer masuk indonesia pak pertengahan juli ndak,-1,-1,-1
14,gak kalo nolak vaksin kecuali vaksin nusantara yg diambil sel dendritik sendiri baru oke vaksin sinovac vaksin pfizer serem vaksin moderna serem vaksin nusantara,-1,-1,-1
15,kalo vaksin pertamanya dpt az ga ya vaksin kedua dapetnya pfizer sinovac,-1,1,-1
16,pfizerbiontech menyatakan hasil uji klinis vaksin covid efektif persen untuk anak tahun,1,1,1
17,gausah ribet masalah vaksin bayar tenang aja ada vaksin gratis gunain kesempatan secepatnya kimia farma berbinis biarin aja yg punya duit cepat bayar gamau bayar ya sabar prosesnya gratis minta cepat sabar agustus vaksin pfizer datangampitu,1,1,1
18,taknak vaksin pfizer huhuhu,-1,-1,-1
19,kelantan yg dpt vaksin sinovac dihentikan merta dpt vaksin pfizer tk rase pilih kasih bhai pasnie dpt pfizer baper juta vaksin akan tiba,-1,-1,-1
20,punyalah lembap gomen punya vaksinasi sampai termimpi dah cucuk pfizer semalam,-1,-1,-1
21,dapat pfizer faham herd immunity tu dia tau covid tu dasar budak budak,-1,-1,-1
22,pertanyaan serius ga sib ambil vaksin corona dua kali misalnya sinovac trus pfizer pas udah,-1,-1,-1
23,vaksinnya ntar aja ah nunggu pfizer moderna dll masuk indonesia vaksin kan tinggi efikasinya dibanging sinovac astrazeneca denger,1,-1,-1
24,udah vaksin sinovac ternyata si varian baru keok nya vaksin az pfizer hadah hadah ya bismillah aja,-1,-1,-1
25,vaksin pifizerbiontech dah digunakan untuk menteri kepala frontliner untuk rakyat vaksin sinovac akan digunakan vaksin covid idaman kalbu pfizerbiontech selesai sinovac china sputnik rusia oxfordastrazeneca britain,-1,1,-1
26,vaksin pfizer dijangka tiba pertengahan bulan,-1,1,-1
27,ada meteor raksasa menghantam bumi dipikirin pbb negaranegara pemborong vaksin pfizer doang ya,-1,-1,-1
