,tweet,bert_predict,lstm_predict,bert_lstm_predict
0,udh vaksin sinovac eh sinopharm dah muncul,-1,-1,-1
1,ad yg vaksin pake sinopharm ga efektivitas gmn sm efek sampingnya gmna ueue,-1,-1,-1
2,semoga besok vaksin sinopharm amin sampe astrazenecca macet batal,-1,-1,-1
3,kayak bener kata kakakku pfizer moderna kayak bakal jual rban bener skrg sinopharm rb yakin kimia farma ga ambil untung soalnya vaksin pfizer aja harga aslinya dollar,-1,-1,-1
4,vaksin sinopharm teh ga dikasih pemerintah ya,-1,-1,-1
5,update vaksin sinopharm pas siang gaenak badan sampe keringetan lemes ngilu tangan yg bekas suntikan kayak umumnya abis magrib tidur terus baru bangun terus eh udh skinkeran lg aja nih guys wkwk yaudah intinya vaksin ya guys jgn lupa,-1,-1,-1
6,kantor nawarin vaksin az gw nolak berita soal pembekuan darah dpt sinopharm eh skrng berita az efektif delta ya bersyukur jd manusia,-1,-1,1
7,ada yg udh vaksin pake sinopharm blm,-1,-1,-1
8,dapet jatah vaksinasi gotongroyong kantor vaksinnya sinopharm udah tanya testi orang kakak sepupu duluan divaksin katanya nggak efek apaapa bismillah ikhtiar aja,1,-1,1
9,da tp mah bingung variannya terus mutasi tp vaksinnya diuji coba blm yg bs nemu ya vaksin yg ampuh satu untuk jgn varian delta pakenya az kappa manjur pfizer trs yg pake sinovac sinopharm nanti gmn suntiknya belang masa,-1,1,-1
10,efek vaksin sinopharm sejauh ngantuk,-1,-1,-1
11,china mengizinkan vaksin sinovac sinopharm bisa digunakan untukvaksinasi anak usia tahun,-1,-1,-1
12,tuntas vaksinasi dosis vaksinnya sinopharm kalo gw abis divaksin cuman pegel tangannya laper bgt gak ampe demam lebih parah aman,-1,-1,-1
13,yg dirasakan vaksin sinopharm gtgtgtgtgtgtgt tangan yg disuntik kebas pegel pol alhamdulillah gak sampe mual kayak temen sekantor gak laper laper banget yg kerasa pegel pol,-1,-1,-1
14,kelean baku hantam vaksin sinopharm menko airlangga singapur divaksin pfizer,-1,-1,-1
15,vaksin gr akhir bulan bakal dateng rb dosis vaksinnya sinopharm sekitar jt dosis yg dipesan selanjutnya dibeli jadinya sputnik rusia cansino dr china yg moderna ga jadi kayaknya,-1,-1,-1
16,duterte minta china tarik dosis vaksin covid sinopharm mei pemimpin yg keren ya ini tunduh perintah siapapunkecuali rakyatnya berani ambil keputusan kr tdk terbelenggu kepentingan andai rakyat miskinpun tp bangsa terhormat,1,1,1
17,tata laksana vaksin untuk ibu hamil ada pogi merekomendasikan sudaj tanya berbagai provider belum mengizinkan jika gotong royong melayani merk sinopharm ibu hamil yg mendapat sinovac tahap,1,1,1
18,kapasitas vaksinasi gotong royong juta sebulan bio farma negosiasi sinopharm moderna untuk penuhi kebutuhan vaksinasi gotong royong,1,-1,1
19,kira xx gotong royong yg beli vaksin pengusaha terus bagi gratis karyawan nya ternyata biadab sinopharm kimia farma,-1,1,-1
20,perusahaan ngantri vaksin sinopharm yg berbayar dah daftar kapan tau terus namanya gotong royong yg mampu akses yg gratis ga keluar jadwal vaksinnya dijual udah mahal ga tepat sasaran orang positif duluan ya,-1,1,-1
21,sejauh di batam yang udah rivaksin pake sinovac sinopharm az satu lupa namanya nininini akiaki karib kerabat berumur diatas thn udah gw suruh vaksin patuhpatuh cantik klinik pake masker,1,1,-1
22,vaksin tp ga pakai sinovac vaksin sinopharm tp berbayar kimia farma hadew,-1,-1,-1
23,nungguin nih namanama bayi bertemakan vaksin sprti samuel astrazeneca abdurahman sinovac satrio sinopharm dita biofarma lainlainnya,1,-1,1
24,pasca dikasih dosis vaksin sinopharm hari nya ga masalah masuk mulai badannya sampe hari tumbang kipi kaya batuk meriang flu sakit kepala muncul,-1,-1,-1
25,udah terbiasa disuntik jarum donor darah pas jarum suntik yg vaksin jadi ga berasa vaksinasi sinopharm berhasil,-1,1,1
26,yg udah vaksin sinopharm gw parno deh,-1,1,-1
27,sinopharm gimana gw cari vaksin az nich setelah vaksin pertama divaksinasi pake brand brand,-1,-1,-1
28,mcm isu pasal vaksin skrg nipfizer sinovac az sinopharm johson hehe efficiency effectivene rd booster yg pastinya baca betul lah tikus makmalsatu dunia dah jadi tikus makmal,1,-1,1
29,presiden abdel fattah alsisi mengumumkan sabtu bahwa mesir mulai meluncurkan kampanye vaksinasi covid secara ma al suntikan sinopharm buatan tiongkok mesir menerima gelombang pertama vaksin sinopharm bulan desember,1,-1,1
30,yg divaksin covid pesan apapun vaksinnya baik sinovac astrazenca sinopharm lanjut vaksin aje deh dripada gak vaksin sekali,-1,-1,-1
31,vaksin yg tersedia kimia farma mulai senin emg ga termasuk vaksin yg skema ny gratis yah kalo mampu belum dpt giliran vaksin beli kimia farma vaksin sinopharm yahcmiiw,1,1,1
32,mahal ya rb sekian vaksin sinopharm ga sih biar miskin berebutan cari gratis resiko terpapar kerumunan,-1,-1,-1
33,cek serology kuantitatif keadaan gak memungkinkan kepo antibodi yg udah kebentuk temen sinovac pas cek yg udah covid nah penasaran sinopharm,-1,-1,-1
34,pas ditanya dapet vaksin dan tau dapet sinopharm orang iri ya,-1,-1,-1
35,lihat saham kimia farma turun gak harganya besok berita jual vaksin sinopharm,-1,-1,-1
36,baubaunya vaksin sinopharm,-1,-1,-1
37,sdh vaksin sinopharm tp saya mikir hanya orang yg sehat yg vaksin orang yg punya riwayat tidak perbolehkan antibodi nya normal ayo lurd tahu,-1,1,-1
38,gai yg udh rencana vaksin sinopharm kalo ada dm dongg,-1,-1,-1
39,ayok vaksin merah putih mau kalah sinovac sinopharm shino aburame,-1,-1,-1
40,orang yg bayar vaksin sinopharm apa ya sekarang yg gratis az sinovac,-1,1,-1
41,dapet jatah orang vaksin sinopharm kantor yg,1,-1,-1
42,skrg ada vaksin sinovac sinopharm gak,-1,-1,-1
