,tweet,bert_predict,lstm_predict,bert_lstm_predict
0,gatau emang beda imun beda vaksin beda ketahanannya kantor gue udah vaksin sinovac kaka gue udah vaksin sinovac tetep aja kena covid dengan gejala ringan oh sama seperti orang di vaksin di rasa,-1,-1,-1
1,kalo ke luar negeri sinovac gaberlaku di sertif vaksin gak disebutin vaksinnya trus taunya sinovac yg gimana,-1,-1,-1
2,selamat pagi penanti vaksin sinovac,1,1,1
3,jam vaksin sinovac efek sampingnya laper,-1,-1,-1
4,bismillah semoga ga kena vaksin sinovac vaksin wkwk,1,1,1
5,oiya semua kecuali adekku uda vaksin pake sinovac alhamdulillah symptoms nya ga aneh panas batuk pilek parah mas bojo aja trombosit turun alhamdulillah masi diatas seratusan,1,-1,-1
6,udah vaksin pakai sinovac ceritain pengalamannya vaksin,-1,-1,1
7,jenis vaksin yg diberikan utk anak usia thn pilihan sinovac pfizer tp utk pfizernya menunggu ijin dr bpom gunakan yg ada saja sinovac ya,-1,1,1
8,abis vaksin sinovac kayak ngerasa hubungan darah bill gates,-1,-1,-1
9,disuntik vaksin coronavac buatan sinovac biotech ltd petugas imigrasi pemasyarakatan diperiksa kesehatannya dahulu para petugas medis,-1,-1,-1
10,jam vaksin sinovac timbul gejala apa laper laper laper hadeuh,-1,-1,-1
11,kabar yg mengkhawatirkan masyarakat terkait vaksin sinovac,-1,1,-1
12,giliran kmren gua nyari sinovac susah bner skrng giliran gua dh vaksin byk sinovac,-1,-1,-1
13,pasien asal prancis barusan curhat teler siang disuntik vaksin sinovac rs,-1,-1,-1
14,berdasarkan penelitian sinovac aman loh bunda sekitar terdeteksi memunculkan antibodi corona anak usia tahun,1,1,1
15,hari gini msh milih vaksingenah raffi ahmad wae sinovac thok,-1,-1,-1
16,dinkes collap idol kpop biar target vaksin tercapai sinovac blackpink astrazeneca bts entar untuk lansia collap rhoma irama,1,-1,1
17,vaksin menghambat efek berat vaksin menghambat penyebaran bisakah vaksin mandiri berkali kali min dg vaksin yg beda,-1,-1,-1
18,pergi pusat vaksin bang vaksin campur satu sinovac sikit pfizer bungkus dua kira,-1,-1,-1
19,yuhu done vaksin tahap pertama sinovac,1,-1,1
20,bapak nanya tetangga kmrn divaksin dia jawabnya vaksin innova sinovac kali ah,-1,-1,-1
21,gue vaksin sinovac kena sakit kepala demam gini,-1,-1,-1
22,vaksin sinovac udah sampe besok vaksin swab,-1,-1,1
23,rata rata vaksin sinovac orng tua dn rumah tangga ya beda pekerja yg pakenya aztrazeneca beda bngt sehabis vaksin,-1,-1,-1
24,kenalan pinterlgi mw lanjut ln punya pendapat gmw divaksin merasa punya kebebasan berpendapat gmw vaksin yg dikasi pemerintah wkt itusinovac blm teruji,-1,-1,1
