,tweet,labels
10758,conggo gallrely cafe di bandung utara . cafe nya sih okok saja . yang menarik adalah produksi meja dengan kayu-kayu yang panjang dan tebal khusus untuk meja makan .,1
1632,nahiya bagi aku si harga dengan barang nya setaralah karena bagus semua,1
19414,tempe khot news panik takut diganti 2014 lalu jokowi menang tipis dari prabowo karena dulu rakyat tertipu dengan w ,-1
11089,tempat makan dengan lokasi strategis dan parkiran yang luas . cocok untuk menjadi pertemuan poin . pofertjes - nya cukup enak . ayam kremes - nya juga cukup enak .,1
616,ayo . rakyat tidak usah pakai wakil rakyat . bubarkan saja wakil rakyat .,-1
2423,"tempat kuliner di bandung yang direkomendasikan untuk dikunjungi . lokasi nya di tengah kota , tempat nya luas , kursi makan nya banyak dan pilihan makanan nya beragam . tinggal pilih sesuai dengan selera dan kantong . tinggal pintar memilih lokasi nya mengingat tempat ini tidak dibedakan antara merokok dan non merokok area .",1
10452,makin gila saja ya orang tua yang satu ini . bilang saja mau bubarkan indonesia .,-1
9736,berkat pak joko widodo rakyat nkri makin sejahtera yang merata dari sabang sampai merauke,1
2283,bukan hanya nama nya saja swike waled . rasanya sama enak nya dengan yang di desa waled cirebon kuah nya tauco nya asin nya pas . swieke goreng nya juga enak . cuma harga nya agak mahal dibanding swike di cirebon .,1
8061,ini batagor favorit di bandung . sampai-sampai kalau ke sini pasti tidak pernah lupa buat bungkus . dan sering juga nitip beliin sama teman .,1
22404,karena cinta tdk butuh alasan maka jgn tanyakan alasan kenapa kamu dicintai,1
5596,muslim meyakini batu hajral aswad jatuh dari surga . bagaimana bisa surga bolong sampai batu bisa jatuh ?,-1
2090,dusun bambu berlokasi di area lembang dan cukup mudah dijangkau dari kota bandung . di sini terdapat berbagai aktraksi dan aktivitas untuk anak-anak . selain itu terdapat foodcourt dan restoran yang menyediakan berbagai hidangan indonesia .,1
12514,ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f ,1
23360,antivaxx bodoh sebiji bodoh doula follow page pw tengok kebodohan depa masukakal deh vaksin covid golongan antivaxx deh letak pulau asingkan,-1
107,"kang , jalan di muararajeun baru , baru sebulanan dibenarkan , sudah rusak lagi . yang mengerjakan seperti tidak serius",-1
2917,"kalau aku lagi ingin hotplate , pasti deh datang beli ke sini . biasanya beli hoplate mi ayam jamur . enak deh , rasanya agak manis begitu .",1
17247,aku bukan siapa siapa untukmu karena aku hanya bot,-1
7053,"iya sih aplikasi memudahkan , tapi ini grab makan tempat banget aplikasi nya , berat .",-1
18659,mengkritik prestasi jokowi dengan fakta dan angka2 sangatlah sulit maka yang digunakan adalah hoax ujaran kebencian f ,-1
18687,simpul jaringan riau di riau sudah ada moratorium pembukaan lahan sejak 5 tahun lalu tapi belum ada penegakan huk ,-1
13007,jangan bersedih brader ,1
6616,"tempat nya nyaman banget , sushi nya tidak kalah enak kok sama yang sudah famous . di sini harga nya khusus pelajar deh wajar . pokok nya rekomendasi tempat deh serius .",1
5854,makanan di sini enak loh . lebih enak ketimbang tempat makan sejenis di bandung . tetapi ya harga nya lebih mahal juga . hhe / orang jatuh nya 100 ribuan lebih . tapi puas karena rasa makanan nya enak . kuah tomyam nya . mm . enak .,1
19923,perkiraan yg cukup mengerikan jika seandainya kita tetap ,-1
11058,"mau makan makanan khas belanda ? datang saja ke restauran ini , sop buntut goreng nya juara ! karena ini restoran khas belanda , banyak menu-menu khas belanda tentunya . sop buntut yang memang masakan peranakan dari negeri kincir angin ini menjadi favorit di restaurant ini .",1
1844,masakan sunda dengan harga terjangkau . jangan lupa coba ikan asin jambal nya ya raos banyak di cocol dengan sambel terasi . jangan lupa coba gurame goreng nya ya __laugh__,1
2449,"motor honda yang pakai piston original hop dijamin punya performa yang prima . saya saja tidak menyesal beli itu . jadi , kalian juga harus nya tidak usah ragu lagi !",1
12785,askmf aku mau kasih kado earphone ke gebetanku tpi gagal jd pacar terus kutilisin dengerin apa yg kamu mau denger jang ,-1
20402,doa setiap hari bila bangun pagi ''aku nak jadi yang lebih baik hari ni even tak buat lagi niat dulu mana tahu malaik ,1
1555,saya suka mi manis nya dengan kuah isi babat . tentu saja ditambah bakso goreng nya yang istimewa . yummy !,1
20606,kurang2i berantem dan saling sindir soal bencana mari berdonasi dengan nyata pilih lembaga manapun yang amanah da ,-1
10196,"semua presiden dari jawa , kenapa dia tidak memberi kesempatan pada orang di luar jawa , karena orang jawa takut tidak makan kalau presiden nya bukan dari jawa , pantesan tidak maju-maju indonesia , padahal jawa itu bodoh , merantau di-mana jadi babu dan kuli kasar .",-1
2931,baru kali ini menyesal beli buku ingin beli skincare saja .,-1
9636,"jual ayam bakar taliwang tapi ayam yang disajikan seperti karet dan tidak memuaskan , dan rasanya hambar , sambal nya juga alakadar nya , akan tetapi minuman nya oke , dari keseluruhan sangat mengecewakan dan saya tidak akan ke dua kalinya ke sana lagi",-1
1539,aku sangat bosan menjadi bosan karena merasa bosan sangat membosankan,-1
4585,"kampung daun selalu menjadi favorit keluarga kami ketika berkunjung ke bandung . makanan yang enak dan lokasi yang unik menjadi alasan kami selalu kembali berkunjung . sebagai persiapan , sebaiknya pengunjung membawa payung dan mengenakan alas kaki non slipery untuk mengantisipasi cuaca yang seringkali hujan .",1
16788,kasian tp kamu memang bully able dek ,-1
6010,"pertama kali ke sini hanya dengan suami dan anak , kata orang makanan nya mahal dan tidak enak-enak amat , ternyata ketika saya ke sana , masih banyak pilihan menu murah meriah dan cukup enak , dengan suasana pinggir kali , cocok untuk keluarga , kalau malam sebaiknya pakai sweater karena udara cukup dingin .",1
1303,"mengunjungi the valley , senin malam udara nya sejuk sekali , kalau ke sini malam-malam harus bawa jaket kalau tidak mau masuk angin . pemandangan nya bagus , harga makanan yang mahal tidak sebanding dengan rasanya . rasa makanan nya biasa saja , tidak ada yang istimewa . tempat makan nya agak gelap , jadi tidak bisa terlihat jelas makanan yang disajikan .",1
6261,"konsep bus suroboyo yang sangat bagus , beda dengan jenis brt di kota kota indonesia pada umun nya yang memakan pedestrian sebagai halte khusus .",1
